Lane 1 Flow (Veh/5 Minutes),Time,Clearance Time in Seconds,Safe
70,11:35,412,1
97,11:40,419,1
80,11:45,447,1
80,11:50,358,1
89,11:55,393,1
93,12:00,347,1
81,12:05,329,1
88,12:10,439,1
81,12:15,300,1
92,12:20,529,1
87,12:25,332,1
83,12:30,298,1
98,12:35,289,1
98,12:40,454,1
89,12:45,301,1
93,12:50,379,1
85,12:55,374,1
99,13:00,266,1
67,13:05,546,1
89,13:10,484,1
63,13:15,234,1
88,13:20,289,1
89,13:25,551,1
80,13:30,455,1
79,13:35,401,1
98,13:40,476,1
102,13:45,423,0
83,13:50,334,1
88,13:55,454,1
102,14:00,742,0
93,14:05,491,1
78,14:10,397,1
87,14:15,496,1
93,14:20,389,1
80,14:25,421,1
67,14:30,260,1
86,14:35,412,1
107,14:40,337,0
100,14:45,616,1
76,14:50,469,1
104,14:55,732,0
95,15:00,500,1
82,15:05,282,1
88,15:10,317,1
90,15:15,384,1
100,15:20,520,1
92,15:25,273,1
99,15:30,374,1
102,15:35,568,0
98,15:40,496,1
86,15:45,326,1
99,15:50,305,1
85,15:55,260,1
102,16:00,689,0
72,16:05,261,1
105,16:10,597,0
97,16:15,439,1
91,16:20,482,1
80,16:25,239,1
83,16:30,354,1
77,16:35,307,1
100,16:40,791,1
82,16:45,513,1
93,16:50,316,1
78,16:55,457,1
87,17:00,515,1
85,17:05,424,1
79,17:10,365,1
105,17:15,614,0
103,17:20,508,0
90,17:25,456,1
82,17:30,377,1
100,17:35,242,1
92,17:40,340,1
80,17:45,532,1
83,17:50,398,1
77,17:55,467,1
73,18:00,429,1
67,18:05,316,1
76,18:10,504,1
76,18:15,470,1
68,18:20,245,1
72,18:25,379,1
72,18:30,270,1
60,18:35,247,1
69,18:40,399,1
75,18:45,469,1
60,18:50,489,1
61,18:55,488,1
69,19:00,358,1
58,19:05,299,1
63,19:10,412,1
71,19:15,441,1
64,19:20,500,1
58,19:25,476,1
53,19:30,475,1
59,19:35,380,1
69,19:40,343,1
54,19:45,307,1
60,19:50,412,1
51,19:55,402,1
40,20:00,251,1
58,20:05,508,1
48,20:10,158,1
41,20:15,232,1
50,20:20,456,1
47,20:25,160,1
43,20:30,161,1
42,20:35,234,1
42,20:40,208,1
54,20:45,286,1
38,20:50,192,1
42,20:55,215,1
41,21:00,183,1
49,21:05,250,1
46,21:10,157,1
34,21:15,235,1
38,21:20,178,1
41,21:25,232,1
41,21:30,277,1
48,21:35,254,1
30,21:40,194,1
33,21:45,191,1
40,21:50,263,1
24,21:55,241,1
34,22:00,174,1
24,22:05,181,1
33,22:10,277,1
32,22:15,201,1
23,22:20,245,1
24,22:25,175,1
24,22:30,228,1
26,22:35,240,1
19,22:40,143,1
16,22:45,217,1
14,22:50,156,1
21,22:55,216,1
16,23:00,254,1
11,23:05,269,1
19,23:10,113,1
22,23:15,171,1
16,23:20,184,1
16,23:25,233,1
17,23:30,112,1
23,23:35,262,1
10,23:40,249,1
20,23:45,165,1
20,23:50,133,1
11,23:55,200,1
12,0:00,175,1
14,0:05,146,1
9,0:10,235,1
6,0:15,199,1
9,0:20,173,1
9,0:25,221,1
12,0:30,217,1
10,0:35,202,1
6,0:40,259,1
6,0:45,246,1
12,0:50,109,1
2,0:55,153,1
11,1:00,125,1
5,1:05,215,1
9,1:10,153,1
8,1:15,177,1
8,1:20,242,1
2,1:25,222,1
9,1:30,200,1
7,1:35,169,1
1,1:40,217,1
5,1:45,235,1
5,1:50,190,1
8,1:55,211,1
3,2:00,276,1
4,2:05,241,1
5,2:10,277,1
3,2:15,232,1
6,2:20,133,1
7,2:25,205,1
3,2:30,228,1
8,2:35,170,1
3,2:40,228,1
3,2:45,282,1
3,2:50,216,1
2,2:55,223,1
4,3:00,199,1
2,3:05,199,1
4,3:10,184,1
7,3:15,183,1
8,3:20,297,1
6,3:25,220,1
6,3:30,213,1
8,3:35,225,1
8,3:40,229,1
12,3:45,258,1
6,3:50,156,1
7,3:55,177,1
12,4:00,173,1
11,4:05,157,1
10,4:10,240,1
19,4:15,216,1
17,4:20,221,1
16,4:25,161,1
18,4:30,188,1
24,4:35,207,1
33,4:40,119,1
45,4:45,183,1
44,4:50,224,1
40,4:55,152,1
53,5:00,270,1
44,5:05,216,1
54,5:10,396,1
67,5:15,371,1
60,5:20,317,1
69,5:25,418,1
75,5:30,463,1
73,5:35,366,1
106,5:40,487,0
101,5:45,739,0
94,5:50,263,1
90,5:55,474,1
108,6:00,456,0
106,6:05,458,0
120,6:10,410,0
126,6:15,531,0
127,6:20,281,0
163,6:25,477,0
128,6:30,537,0
154,6:35,1288,0
157,6:40,1005,0
171,6:45,990,0
152,6:50,524,0
150,6:55,963,0
148,7:00,1285,0
147,7:05,801,0
148,7:10,580,0
136,7:15,718,0
136,7:20,698,0
96,7:25,350,1
114,7:30,744,0
103,7:35,613,0
77,7:40,398,1
82,7:45,477,1
63,7:50,278,1
74,7:55,286,1
85,8:00,409,1
91,8:05,391,1
73,8:10,486,1
80,8:15,428,1
70,8:20,279,1
69,8:25,313,1
69,8:30,411,1
63,8:35,315,1
77,8:40,318,1
59,8:45,424,1
65,8:50,189,1
63,8:55,266,1
56,9:00,360,1
57,9:05,381,1
66,9:10,422,1
73,9:15,339,1
63,9:20,419,1
70,9:25,411,1
80,9:30,464,1
79,9:35,390,1
90,9:40,420,1
87,9:45,480,1
83,9:50,384,1
59,9:55,507,1
78,10:00,330,1
63,10:05,222,1
71,10:10,433,1
73,10:15,372,1
76,10:20,499,1
90,10:25,306,1
70,10:30,573,1
83,10:35,376,1
74,10:40,516,1
87,10:45,350,1
75,10:50,337,1
85,10:55,299,1
80,11:00,505,1
69,11:05,374,1
72,11:10,254,1
75,11:15,535,1
77,11:20,191,1
72,11:25,423,1
64,11:30,398,1
90,11:35,501,1
89,11:40,352,1
53,11:45,483,1
46,11:50,186,1
47,11:55,224,1
41,12:00,242,1
83,12:05,268,1
63,12:10,468,1
76,12:15,300,1
71,12:20,380,1
47,12:25,229,1
72,12:30,466,1
71,12:35,268,1
37,12:40,188,1
17,12:45,181,1
74,12:50,363,1
72,12:55,362,1
80,13:00,252,1
69,13:05,441,1
62,13:10,362,1
57,13:15,301,1
65,13:20,309,1
51,13:25,400,1
61,13:30,331,1
69,13:35,263,1
77,13:40,387,1
31,13:45,213,1
95,13:50,414,1
77,13:55,446,1
64,14:00,514,1
69,14:05,408,1
57,14:10,507,1
74,14:15,400,1
73,14:20,484,1
70,14:25,388,1
74,14:30,333,1
65,14:35,410,1
73,14:40,324,1
87,14:45,568,1
56,14:50,357,1
71,14:55,353,1
51,15:00,552,1
67,15:05,423,1
65,15:10,341,1
79,15:15,272,1
95,15:20,474,1
81,15:25,414,1
79,15:30,315,1
92,15:35,312,1
103,15:40,514,0
83,15:45,323,1
89,15:50,307,1
71,15:55,534,1
72,16:00,497,1
74,16:05,176,1
81,16:10,464,1
77,16:15,235,1
80,16:20,263,1
86,16:25,327,1
78,16:30,338,1
73,16:35,320,1
82,16:40,411,1
70,16:45,204,1
83,16:50,303,1
81,16:55,357,1
75,17:00,363,1
80,17:05,304,1
81,17:10,488,1
95,17:15,427,1
95,17:20,476,1
77,17:25,380,1
81,17:30,257,1
68,17:35,352,1
66,17:40,421,1
80,17:45,425,1
75,17:50,464,1
62,17:55,253,1
74,18:00,412,1
81,18:05,345,1
71,18:10,482,1
75,18:15,263,1
80,18:20,508,1
66,18:25,360,1
72,18:30,381,1
61,18:35,320,1
62,18:40,510,1
60,18:45,415,1
64,18:50,445,1
55,18:55,441,1
70,19:00,407,1
51,19:05,344,1
60,19:10,468,1
51,19:15,497,1
60,19:20,416,1
58,19:25,307,1
49,19:30,191,1
51,19:35,307,1
58,19:40,501,1
37,19:45,264,1
40,19:50,185,1
45,19:55,200,1
48,20:00,150,1
39,20:05,215,1
45,20:10,158,1
56,20:15,262,1
44,20:20,269,1
47,20:25,168,1
37,20:30,165,1
37,20:35,177,1
43,20:40,216,1
37,20:45,162,1
48,20:50,232,1
43,20:55,192,1
28,21:00,182,1
40,21:05,202,1
41,21:10,245,1
36,21:15,175,1
47,21:20,203,1
33,21:25,233,1
30,21:30,161,1
30,21:35,127,1
31,21:40,207,1
27,21:45,245,1
35,21:50,194,1
24,21:55,262,1
21,22:00,156,1
25,22:05,277,1
26,22:10,129,1
31,22:15,180,1
29,22:20,155,1
25,22:25,212,1
25,22:30,131,1
20,22:35,282,1
19,22:40,186,1
15,22:45,218,1
18,22:50,175,1
13,22:55,270,1
13,23:00,111,1
13,23:05,259,1
18,23:10,197,1
15,23:15,287,1
12,23:20,220,1
12,23:25,255,1
8,23:30,242,1
14,23:35,192,1
13,23:40,168,1
15,23:45,237,1
16,23:50,204,1
12,23:55,171,1
13,0:00,193,1
5,0:05,169,1
7,0:10,136,1
8,0:15,286,1
8,0:20,293,1
6,0:25,145,1
9,0:30,165,1
10,0:35,293,1
11,0:40,291,1
2,0:45,199,1
7,0:50,245,1
4,0:55,237,1
9,1:00,235,1
4,1:05,143,1
7,1:10,253,1
7,1:15,205,1
6,1:20,184,1
11,1:25,177,1
3,1:30,118,1
3,1:35,116,1
4,1:40,155,1
2,1:45,116,1
1,1:50,181,1
7,1:55,168,1
5,2:00,216,1
4,2:05,215,1
1,2:10,109,1
4,2:15,230,1
3,2:20,115,1
1,2:25,116,1
4,2:30,217,1
5,2:35,173,1
2,2:40,191,1
2,2:45,227,1
7,2:50,196,1
3,2:55,237,1
5,3:00,129,1
3,3:05,137,1
2,3:10,211,1
5,3:15,212,1
7,3:20,197,1
5,3:25,134,1
1,3:30,232,1
10,3:35,199,1
10,3:40,203,1
13,3:45,192,1
8,3:50,223,1
8,3:55,236,1
11,4:00,145,1
9,4:05,281,1
11,4:10,247,1
15,4:15,224,1
14,4:20,143,1
17,4:25,160,1
10,4:30,211,1
33,4:35,163,1
34,4:40,198,1
28,4:45,183,1
41,4:50,163,1
35,4:55,219,1
49,5:00,268,1
38,5:05,205,1
51,5:10,283,1
57,5:15,366,1
61,5:20,304,1
60,5:25,315,1
77,5:30,302,1
79,5:35,339,1
108,5:40,424,0
81,5:45,497,1
101,5:50,699,0
112,5:55,286,0
97,6:00,331,1
107,6:05,341,0
101,6:10,637,0
110,6:15,420,0
124,6:20,663,0
132,6:25,641,0
117,6:30,515,0
160,6:35,968,0
167,6:40,1007,0
160,6:45,1044,0
174,6:50,609,0
159,6:55,561,0
186,7:00,1046,0
144,7:05,666,0
141,7:10,804,0
118,7:15,802,0
103,7:20,392,0
95,7:25,352,1
73,7:30,365,1
85,7:35,451,1
85,7:40,448,1
73,7:45,361,1
76,7:50,424,1
73,7:55,333,1
91,8:00,459,1
82,8:05,516,1
88,8:10,352,1
96,8:15,417,1
78,8:20,312,1
91,8:25,408,1
82,8:30,557,1
63,8:35,369,1
80,8:40,341,1
81,8:45,333,1
93,8:50,304,1
79,8:55,438,1
70,9:00,452,1
99,9:05,259,1
82,9:10,287,1
117,9:15,629,0
102,9:20,371,0
113,9:25,721,0
112,9:30,586,0
122,9:35,676,0
94,9:40,366,1
118,9:45,789,0
118,9:50,724,0
109,9:55,351,0
130,10:00,705,0
103,10:05,433,0
95,10:10,226,1
94,10:15,580,1
89,10:20,452,1
118,10:25,387,0
103,10:30,846,0
112,10:35,410,0
102,10:40,363,0
108,10:45,525,0
96,10:50,481,1
88,10:55,379,1
91,11:00,347,1
91,11:05,439,1
89,11:10,430,1
94,11:15,183,1
75,11:20,455,1
89,11:25,329,1
79,11:30,425,1
72,11:35,463,1
76,11:40,307,1
64,11:45,238,1
75,11:50,485,1
71,11:55,351,1
61,12:00,515,1
71,12:05,474,1
76,12:10,225,1
67,12:15,437,1
96,12:20,412,1
89,12:25,378,1
100,12:30,446,1
84,12:35,443,1
76,12:40,414,1
78,12:45,314,1
94,12:50,461,1
62,12:55,419,1
59,13:00,431,1
72,13:05,336,1
75,13:10,482,1
76,13:15,321,1
66,13:20,572,1
71,13:25,438,1
75,13:30,406,1
76,13:35,589,1
42,13:40,158,1
60,13:45,295,1
65,13:50,279,1
53,13:55,265,1
52,14:00,266,1
50,14:05,443,1
64,14:10,233,1
79,14:15,423,1
76,14:20,293,1
72,14:25,239,1
66,14:30,340,1
80,14:35,349,1
73,14:40,278,1
89,14:45,282,1
69,14:50,335,1
81,14:55,418,1
72,15:00,464,1
81,15:05,289,1
68,15:10,317,1
77,15:15,388,1
73,15:20,322,1
77,15:25,319,1
76,15:30,534,1
85,15:35,335,1
87,15:40,454,1
85,15:45,299,1
85,15:50,339,1
77,15:55,448,1
59,16:00,544,1
73,16:05,391,1
73,16:10,430,1
81,16:15,341,1
77,16:20,266,1
79,16:25,311,1
82,16:30,430,1
68,16:35,505,1
72,16:40,513,1
80,16:45,426,1
87,16:50,501,1
72,16:55,339,1
67,17:00,490,1
67,17:05,374,1
88,17:10,316,1
95,17:15,257,1
80,17:20,314,1
79,17:25,225,1
75,17:30,314,1
77,17:35,345,1
83,17:40,306,1
71,17:45,454,1
76,17:50,320,1
73,17:55,335,1
64,18:00,288,1
75,18:05,455,1
71,18:10,328,1
85,18:15,301,1
65,18:20,496,1
75,18:25,399,1
70,18:30,359,1
60,18:35,461,1
69,18:40,552,1
54,18:45,333,1
36,18:50,265,1
48,18:55,186,1
69,19:00,412,1
58,19:05,343,1
59,19:10,186,1
60,19:15,446,1
60,19:20,429,1
60,19:25,495,1
53,19:30,244,1
66,19:35,419,1
60,19:40,345,1
49,19:45,172,1
55,19:50,351,1
45,19:55,115,1
38,20:00,176,1
40,20:05,163,1
51,20:10,499,1
23,20:15,137,1
42,20:20,190,1
47,20:25,261,1
29,20:30,203,1
37,20:35,259,1
29,20:40,149,1
30,20:45,234,1
41,20:50,208,1
29,20:55,257,1
36,21:00,231,1
37,21:05,222,1
31,21:10,122,1
31,21:15,234,1
32,21:20,179,1
39,21:25,256,1
32,21:30,134,1
30,21:35,224,1
36,21:40,145,1
35,21:45,145,1
32,21:50,283,1
25,21:55,239,1
22,22:00,227,1
18,22:05,228,1
17,22:10,205,1
26,22:15,167,1
23,22:20,211,1
24,22:25,157,1
24,22:30,218,1
19,22:35,274,1
18,22:40,167,1
16,22:45,193,1
21,22:50,222,1
16,22:55,202,1
11,23:00,217,1
13,23:05,208,1
19,23:10,222,1
11,23:15,211,1
13,23:20,222,1
8,23:25,174,1
13,23:30,181,1
12,23:35,128,1
15,23:40,263,1
12,23:45,143,1
11,23:50,252,1
10,23:55,162,1
6,0:00,189,1
8,0:05,159,1
11,0:10,176,1
9,0:15,194,1
8,0:20,131,1
8,0:25,142,1
5,0:30,137,1
8,0:35,140,1
8,0:40,211,1
6,0:45,169,1
5,0:50,149,1
9,0:55,231,1
5,1:00,148,1
2,1:05,214,1
3,1:10,219,1
5,1:15,175,1
5,1:20,223,1
1,1:25,186,1
6,1:30,263,1
2,1:35,186,1
2,1:40,147,1
7,1:45,226,1
4,1:50,221,1
5,1:55,193,1
5,2:00,229,1
4,2:05,117,1
1,2:10,180,1
3,2:15,220,1
1,2:20,179,1
1,2:25,224,1
4,2:30,284,1
5,2:35,188,1
7,2:40,237,1
3,2:45,168,1
8,2:50,281,1
5,2:55,191,1
1,3:00,190,1
2,3:05,200,1
1,3:10,278,1
5,3:15,215,1
2,3:20,181,1
4,3:25,154,1
7,3:30,181,1
9,3:35,194,1
7,3:40,138,1
7,3:45,190,1
10,3:50,206,1
7,3:55,287,1
9,4:00,234,1
10,4:05,108,1
12,4:10,233,1
17,4:15,233,1
14,4:20,184,1
16,4:25,246,1
14,4:30,148,1
19,4:35,198,1
26,4:40,180,1
28,4:45,184,1
31,4:50,181,1
30,4:55,213,1
26,5:00,243,1
45,5:05,209,1
46,5:10,210,1
52,5:15,369,1
62,5:20,320,1
62,5:25,343,1
75,5:30,448,1
66,5:35,457,1
87,5:40,311,1
90,5:45,422,1
91,5:50,423,1
72,5:55,371,1
105,6:00,713,0
90,6:05,442,1
104,6:10,425,0
125,6:15,386,0
113,6:20,783,0
142,6:25,1093,0
124,6:30,748,0
146,6:35,1104,0
145,6:40,897,0
153,6:45,905,0
137,6:50,748,0
154,6:55,822,0
140,7:00,1168,0
152,7:05,1256,0
132,7:10,494,0
115,7:15,832,0
123,7:20,699,0
117,7:25,716,0
99,7:30,313,1
79,7:35,291,1
83,7:40,237,1
79,7:45,297,1
67,7:50,417,1
72,7:55,292,1
82,8:00,274,1
76,8:05,368,1
78,8:10,407,1
62,8:15,416,1
74,8:20,401,1
68,8:25,312,1
79,8:30,421,1
69,8:35,350,1
83,8:40,514,1
65,8:45,398,1
90,8:50,458,1
83,8:55,366,1
89,9:00,327,1
93,9:05,353,1
86,9:10,320,1
94,9:15,350,1
93,9:20,475,1
88,9:25,489,1
121,9:30,385,0
103,9:35,289,0
119,9:40,355,0
110,9:45,679,0
115,9:50,549,0
99,9:55,395,1
99,10:00,304,1
89,10:05,457,1
97,10:10,281,1
86,10:15,495,1
94,10:20,343,1
89,10:25,543,1
113,10:30,634,0
98,10:35,313,1
92,10:40,461,1
101,10:45,760,0
94,10:50,385,1
79,10:55,460,1
72,11:00,353,1
99,11:05,316,1
91,11:10,317,1
95,11:15,411,1
107,11:20,753,0
97,11:25,479,1
110,11:30,562,0
114,11:35,338,0
87,11:40,243,1
112,11:45,706,0
87,11:50,279,1
89,11:55,411,1
89,12:00,327,1
91,12:05,427,1
105,12:10,821,0
85,12:15,408,1
104,12:20,599,0
79,12:25,368,1
71,12:30,363,1
89,12:35,306,1
80,12:40,569,1
107,12:45,750,0
86,12:50,443,1
103,12:55,701,0
92,13:00,471,1
95,13:05,335,1
92,13:10,330,1
81,13:15,430,1
94,13:20,422,1
87,13:25,366,1
86,13:30,413,1
101,13:35,512,0
93,13:40,288,1
90,13:45,186,1
86,13:50,421,1
84,13:55,410,1
89,14:00,395,1
83,14:05,374,1
104,14:10,572,0
86,14:15,357,1
93,14:20,314,1
110,14:25,523,0
90,14:30,447,1
100,14:35,353,1
108,14:40,665,0
92,14:45,380,1
93,14:50,402,1
95,14:55,349,1
73,15:00,353,1
96,15:05,308,1
92,15:10,388,1
94,15:15,327,1
97,15:20,297,1
71,15:25,257,1
105,15:30,724,0
93,15:35,487,1
102,15:40,565,0
91,15:45,375,1
94,15:50,432,1
96,15:55,469,1
94,16:00,220,1
83,16:05,491,1
87,16:10,368,1
84,16:15,511,1
99,16:20,284,1
87,16:25,315,1
87,16:30,436,1
96,16:35,303,1
96,16:40,468,1
92,16:45,319,1
90,16:50,344,1
88,16:55,399,1
88,17:00,438,1
97,17:05,278,1
83,17:10,276,1
114,17:15,425,0
103,17:20,370,0
103,17:25,851,0
88,17:30,413,1
87,17:35,404,1
87,17:40,399,1
81,17:45,306,1
87,17:50,464,1
86,17:55,271,1
76,18:00,453,1
63,18:05,468,1
64,18:10,520,1
79,18:15,381,1
67,18:20,206,1
79,18:25,266,1
58,18:30,226,1
79,18:35,428,1
71,18:40,423,1
69,18:45,360,1
60,18:50,474,1
72,18:55,494,1
57,19:00,440,1
75,19:05,490,1
55,19:10,472,1
71,19:15,266,1
67,19:20,463,1
75,19:25,359,1
69,19:30,292,1
50,19:35,296,1
63,19:40,325,1
67,19:45,475,1
59,19:50,364,1
47,19:55,277,1
55,20:00,508,1
44,20:05,168,1
52,20:10,403,1
43,20:15,237,1
44,20:20,224,1
49,20:25,219,1
58,20:30,229,1
46,20:35,240,1
43,20:40,243,1
45,20:45,228,1
51,20:50,436,1
41,20:55,248,1
36,21:00,221,1
40,21:05,230,1
37,21:10,255,1
27,21:15,204,1
38,21:20,133,1
34,21:25,124,1
47,21:30,168,1
45,21:35,119,1
38,21:40,169,1
32,21:45,264,1
47,21:50,191,1
18,21:55,179,1
32,22:00,205,1
25,22:05,198,1
25,22:10,260,1
35,22:15,179,1
30,22:20,154,1
31,22:25,155,1
35,22:30,280,1
31,22:35,167,1
25,22:40,243,1
30,22:45,244,1
20,22:50,194,1
28,22:55,140,1
21,23:00,116,1
16,23:05,257,1
16,23:10,159,1
17,23:15,236,1
14,23:20,144,1
8,23:25,228,1
16,23:30,232,1
12,23:35,174,1
17,23:40,274,1
17,23:45,166,1
18,23:50,161,1
27,23:55,142,1
14,0:00,245,1
11,0:05,204,1
11,0:10,243,1
13,0:15,206,1
9,0:20,190,1
10,0:25,158,1
13,0:30,196,1
17,0:35,163,1
9,0:40,184,1
13,0:45,165,1
9,0:50,178,1
10,0:55,161,1
11,1:00,152,1
13,1:05,127,1
11,1:10,170,1
11,1:15,226,1
3,1:20,182,1
6,1:25,183,1
8,1:30,244,1
6,1:35,257,1
3,1:40,254,1
4,1:45,172,1
4,1:50,126,1
6,1:55,252,1
5,2:00,254,1
6,2:05,208,1
5,2:10,230,1
5,2:15,187,1
9,2:20,225,1
3,2:25,234,1
2,2:30,223,1
4,2:35,238,1
5,2:40,194,1
1,2:45,197,1
2,2:50,183,1
4,2:55,192,1
5,3:00,199,1
5,3:05,181,1
2,3:10,211,1
8,3:15,215,1
5,3:20,283,1
3,3:25,233,1
3,3:30,174,1
5,3:35,177,1
5,3:40,143,1
11,3:45,229,1
9,3:50,164,1
3,3:55,190,1
7,4:00,219,1
14,4:05,181,1
18,4:10,206,1
15,4:15,269,1
9,4:20,211,1
14,4:25,198,1
19,4:30,104,1
27,4:35,196,1
22,4:40,175,1
36,4:45,122,1
33,4:50,214,1
25,4:55,268,1
54,5:00,387,1
45,5:05,167,1
41,5:10,172,1
48,5:15,210,1
49,5:20,179,1
56,5:25,554,1
48,5:30,238,1
82,5:35,300,1
90,5:40,330,1
86,5:45,265,1
92,5:50,438,1
81,5:55,411,1
90,6:00,185,1
82,6:05,251,1
93,6:10,319,1
118,6:15,256,0
116,6:20,608,0
132,6:25,701,0
133,6:30,509,0
154,6:35,871,0
144,6:40,766,0
171,6:45,495,0
144,6:50,793,0
159,6:55,813,0
153,7:00,654,0
158,7:05,409,0
154,7:10,518,0
139,7:15,949,0
130,7:20,590,0
122,7:25,289,0
108,7:30,663,0
99,7:35,368,1
85,7:40,455,1
87,7:45,458,1
66,7:50,466,1
79,7:55,226,1
97,8:00,303,1
101,8:05,356,0
86,8:10,541,1
88,8:15,270,1
79,8:20,368,1
95,8:25,246,1
72,8:30,432,1
75,8:35,472,1
77,8:40,468,1
81,8:45,246,1
83,8:50,500,1
88,8:55,357,1
82,9:00,353,1
66,9:05,325,1
88,9:10,325,1
103,9:15,461,0
104,9:20,398,0
104,9:25,339,0
116,9:30,517,0
116,9:35,305,0
126,9:40,545,0
85,9:45,344,1
137,9:50,1199,0
116,9:55,364,0
100,10:00,284,1
86,10:05,540,1
94,10:10,398,1
119,10:15,648,0
96,10:20,508,1
109,10:25,721,0
109,10:30,419,0
116,10:35,655,0
117,10:40,729,0
113,10:45,628,0
102,10:50,347,0
100,10:55,628,1
102,11:00,609,0
85,11:05,416,1
99,11:10,345,1
116,11:15,428,0
87,11:20,373,1
86,11:25,303,1
114,11:30,598,0
112,11:35,682,0
120,11:40,606,0
115,11:45,286,0
118,11:50,386,0
98,11:55,391,1
109,12:00,463,0
98,12:05,351,1
79,12:10,520,1
104,12:15,639,0
104,12:20,567,0
83,12:25,428,1
97,12:30,428,1
100,12:35,428,1
101,12:40,241,0
95,12:45,533,1
110,12:50,294,0
87,12:55,227,1
93,13:00,377,1
103,13:05,732,0
98,13:10,413,1
98,13:15,443,1
84,13:20,407,1
114,13:25,530,0
117,13:30,389,0
97,13:35,310,1
107,13:40,667,0
115,13:45,273,0
113,13:50,781,0
92,13:55,469,1
105,14:00,324,0
102,14:05,433,0
105,14:10,728,0
109,14:15,760,0
106,14:20,483,0
104,14:25,731,0
103,14:30,398,0
100,14:35,552,1
97,14:40,269,1
106,14:45,749,0
115,14:50,713,0
101,14:55,371,0
90,15:00,506,1
118,15:05,828,0
101,15:10,388,0
104,15:15,487,0
97,15:20,445,1
93,15:25,428,1
88,15:30,373,1
116,15:35,729,0
110,15:40,595,0
104,15:45,321,0
95,15:50,420,1
103,15:55,624,0
84,16:00,394,1
93,16:05,461,1
95,16:10,407,1
79,16:15,395,1
56,16:20,267,1
91,16:25,332,1
72,16:30,481,1
75,16:35,436,1
93,16:40,357,1
77,16:45,521,1
101,16:50,645,0
91,16:55,307,1
102,17:00,460,0
97,17:05,390,1
101,17:10,418,0
114,17:15,238,0
99,17:20,328,1
113,17:25,414,0
89,17:30,390,1
91,17:35,502,1
91,17:40,515,1
91,17:45,418,1
81,17:50,430,1
86,17:55,332,1
90,18:00,513,1
71,18:05,424,1
76,18:10,465,1
75,18:15,430,1
90,18:20,297,1
96,18:25,192,1
75,18:30,217,1
90,18:35,347,1
69,18:40,373,1
75,18:45,327,1
78,18:50,554,1
94,18:55,228,1
84,19:00,333,1
72,19:05,295,1
89,19:10,322,1
86,19:15,512,1
69,19:20,494,1
78,19:25,354,1
84,19:30,336,1
79,19:35,558,1
84,19:40,491,1
77,19:45,438,1
