5 Minutes,Lane 1 Flow (Veh/5 Minutes),# Lane Points,% Observed,Safe,Clearance Time in Seconds,Time
04/01/2016 15:05,82,1,100,1,13,15:05
04/01/2016 15:10,88,1,100,1,51,15:10
04/01/2016 15:15,90,1,100,1,55,15:15
04/01/2016 15:20,100,1,100,1,40,15:20
04/01/2016 15:25,92,1,100,1,25,15:25
04/01/2016 15:30,99,1,100,1,18,15:30
04/01/2016 15:35,102,1,100,0,1205,15:35
04/01/2016 15:40,98,1,100,1,39,15:40
04/01/2016 15:45,86,1,100,1,56,15:45
04/01/2016 15:50,99,1,100,1,17,15:50
04/01/2016 15:55,85,1,100,1,52,15:55
04/01/2016 16:00,102,1,100,0,1150,16:00
04/01/2016 16:05,72,1,100,1,14,16:05
04/01/2016 16:10,105,1,100,0,600,16:10
04/01/2016 16:15,97,1,100,1,28,16:15
04/01/2016 16:20,91,1,100,1,37,16:20
04/01/2016 16:25,80,1,100,1,9,16:25
04/01/2016 16:30,83,1,100,1,10,16:30
04/01/2016 16:35,77,1,100,1,48,16:35
04/01/2016 16:40,100,1,100,1,43,16:40
04/01/2016 16:45,82,1,100,1,37,16:45
04/01/2016 16:50,93,1,100,1,43,16:50
04/01/2016 16:55,78,1,100,1,47,16:55
04/01/2016 17:00,87,1,100,1,56,17:00
04/01/2016 17:05,85,1,100,1,28,17:05
04/01/2016 17:10,79,1,100,1,26,17:10
04/01/2016 17:15,105,1,100,0,502,17:15
04/01/2016 17:20,103,1,100,0,314,17:20
04/01/2016 17:25,90,1,100,1,58,17:25
04/01/2016 17:30,82,1,100,1,1,17:30
04/01/2016 17:35,100,1,100,1,56,17:35
04/01/2016 17:40,92,1,100,1,21,17:40
04/01/2016 17:45,80,1,100,1,5,17:45
04/01/2016 17:50,83,1,100,1,22,17:50
04/01/2016 17:55,77,1,100,1,11,17:55
04/01/2016 18:00,73,1,100,1,40,18:00
04/01/2016 18:05,67,1,100,1,10,18:05
04/01/2016 18:10,76,1,100,1,27,18:10
04/01/2016 18:15,76,1,100,1,19,18:15
04/01/2016 18:20,68,1,100,1,54,18:20
04/01/2016 18:25,72,1,100,1,4,18:25
04/01/2016 18:30,72,1,100,1,52,18:30
04/01/2016 18:35,60,1,100,1,54,18:35
04/01/2016 18:40,69,1,100,1,50,18:40
04/01/2016 18:45,75,1,100,1,23,18:45
04/01/2016 18:50,60,1,100,1,43,18:50
04/01/2016 18:55,61,1,100,1,23,18:55
04/01/2016 19:00,69,1,100,1,27,19:00
04/01/2016 19:05,58,1,100,1,49,19:05
04/01/2016 19:10,63,1,100,1,32,19:10
04/01/2016 19:15,71,1,100,1,43,19:15
04/01/2016 19:20,64,1,100,1,47,19:20
04/01/2016 19:25,58,1,100,1,59,19:25
04/01/2016 19:30,53,1,100,1,39,19:30
04/01/2016 19:35,59,1,100,1,18,19:35
04/01/2016 19:40,69,1,100,1,11,19:40
04/01/2016 19:45,54,1,100,1,38,19:45
04/01/2016 19:50,60,1,100,1,0,19:50
04/01/2016 19:55,51,1,100,1,14,19:55
04/01/2016 20:00,40,1,100,1,46,20:00
04/01/2016 20:05,58,1,100,1,2,20:05
04/01/2016 20:10,48,1,100,1,33,20:10
04/01/2016 20:15,41,1,100,1,28,20:15
04/01/2016 20:20,50,1,100,1,34,20:20
04/01/2016 20:25,47,1,100,1,11,20:25
04/01/2016 20:30,43,1,100,1,8,20:30
04/01/2016 20:35,42,1,100,1,43,20:35
04/01/2016 20:40,42,1,100,1,13,20:40
04/01/2016 20:45,54,1,100,1,9,20:45
04/01/2016 20:50,38,1,100,1,55,20:50
04/01/2016 20:55,42,1,100,1,29,20:55
04/01/2016 21:00,41,1,100,1,24,21:00
04/01/2016 21:05,49,1,100,1,20,21:05
04/01/2016 21:10,46,1,100,1,31,21:10
04/01/2016 21:15,34,1,100,1,0,21:15
04/01/2016 21:20,38,1,100,1,23,21:20
04/01/2016 21:25,41,1,100,1,10,21:25
04/01/2016 21:30,41,1,100,1,7,21:30
04/01/2016 21:35,48,1,100,1,7,21:35
04/01/2016 21:40,30,1,100,1,32,21:40
04/01/2016 21:45,33,1,100,1,22,21:45
04/01/2016 21:50,40,1,100,1,2,21:50
04/01/2016 21:55,24,1,100,1,29,21:55
04/01/2016 22:00,34,1,100,1,50,22:00
04/01/2016 22:05,24,1,100,1,37,22:05
04/01/2016 22:10,33,1,100,1,57,22:10
04/01/2016 22:15,32,1,100,1,45,22:15
04/01/2016 22:20,23,1,100,1,45,22:20
04/01/2016 22:25,24,1,100,1,24,22:25
04/01/2016 22:30,24,1,100,1,17,22:30
04/01/2016 22:35,26,1,100,1,28,22:35
04/01/2016 22:40,19,1,100,1,57,22:40
04/01/2016 22:45,16,1,100,1,39,22:45
04/01/2016 22:50,14,1,100,1,9,22:50
04/01/2016 22:55,21,1,100,1,8,22:55
04/01/2016 23:00,16,1,100,1,13,23:00
04/01/2016 23:05,11,1,100,1,29,23:05
04/01/2016 23:10,19,1,100,1,42,23:10
04/01/2016 23:15,22,1,100,1,28,23:15
04/01/2016 23:20,16,1,100,1,34,23:20
04/01/2016 23:25,16,1,100,1,46,23:25
04/01/2016 23:30,17,1,100,1,0,23:30
04/01/2016 23:35,23,1,100,1,38,23:35
04/01/2016 23:40,10,1,100,1,7,23:40
04/01/2016 23:45,20,1,100,1,56,23:45
04/01/2016 23:50,20,1,100,1,10,23:50
04/01/2016 23:55,11,1,100,1,10,23:55
05/01/2016 0:00,12,1,100,1,38,0:00
05/01/2016 0:05,14,1,100,1,14,0:05
05/01/2016 0:10,9,1,100,1,20,0:10
05/01/2016 0:15,6,1,100,1,0,0:15
05/01/2016 0:20,9,1,100,1,57,0:20
05/01/2016 0:25,9,1,100,1,26,0:25
05/01/2016 0:30,12,1,100,1,45,0:30
05/01/2016 0:35,10,1,100,1,59,0:35
05/01/2016 0:40,6,1,100,1,5,0:40
05/01/2016 0:45,6,1,100,1,0,0:45
05/01/2016 0:50,12,1,100,1,14,0:50
05/01/2016 0:55,2,1,100,1,18,0:55
05/01/2016 1:00,11,1,100,1,53,1:00
05/01/2016 1:05,5,1,100,1,45,1:05
05/01/2016 1:10,9,1,100,1,41,1:10
05/01/2016 1:15,8,1,100,1,40,1:15
05/01/2016 1:20,8,1,100,1,16,1:20
05/01/2016 1:25,2,1,100,1,21,1:25
05/01/2016 1:30,9,1,100,1,3,1:30
05/01/2016 1:35,7,1,100,1,43,1:35
05/01/2016 1:40,1,1,100,1,27,1:40
05/01/2016 1:45,5,1,100,1,27,1:45
05/01/2016 1:50,5,1,100,1,38,1:50
05/01/2016 1:55,8,1,100,1,47,1:55
05/01/2016 2:00,3,1,100,1,17,2:00
05/01/2016 2:05,4,1,100,1,43,2:05
05/01/2016 2:10,5,1,100,1,30,2:10
05/01/2016 2:15,3,1,100,1,48,2:15
05/01/2016 2:20,6,1,100,1,52,2:20
05/01/2016 2:25,7,1,100,1,46,2:25
05/01/2016 2:30,3,1,100,1,36,2:30
05/01/2016 2:35,8,1,100,1,24,2:35
05/01/2016 2:40,3,1,100,1,44,2:40
05/01/2016 2:45,3,1,100,1,1,2:45
05/01/2016 2:50,3,1,100,1,38,2:50
05/01/2016 2:55,2,1,100,1,50,2:55
05/01/2016 3:00,4,1,100,1,35,3:00
05/01/2016 3:05,2,1,100,1,59,3:05
05/01/2016 3:10,4,1,100,1,14,3:10
05/01/2016 3:15,7,1,100,1,33,3:15
05/01/2016 3:20,8,1,100,1,52,3:20
05/01/2016 3:25,6,1,100,1,3,3:25
05/01/2016 3:30,6,1,100,1,36,3:30
05/01/2016 3:35,8,1,100,1,59,3:35
05/01/2016 3:40,8,1,100,1,54,3:40
05/01/2016 3:45,12,1,100,1,36,3:45
05/01/2016 3:50,6,1,100,1,51,3:50
05/01/2016 3:55,7,1,100,1,32,3:55
05/01/2016 4:00,12,1,100,1,27,4:00
05/01/2016 4:05,11,1,100,1,5,4:05
05/01/2016 4:10,10,1,100,1,19,4:10
05/01/2016 4:15,19,1,100,1,39,4:15
05/01/2016 4:20,17,1,100,1,10,4:20
05/01/2016 4:25,16,1,100,1,21,4:25
05/01/2016 4:30,18,1,100,1,18,4:30
05/01/2016 4:35,24,1,100,1,8,4:35
05/01/2016 4:40,33,1,100,1,8,4:40
05/01/2016 4:45,45,1,100,1,55,4:45
05/01/2016 4:50,44,1,100,1,42,4:50
05/01/2016 4:55,40,1,100,1,29,4:55
05/01/2016 5:00,53,1,100,1,4,5:00
05/01/2016 5:05,44,1,100,1,3,5:05
05/01/2016 5:10,54,1,100,1,39,5:10
05/01/2016 5:15,67,1,100,1,25,5:15
05/01/2016 5:20,60,1,100,1,39,5:20
05/01/2016 5:25,69,1,100,1,59,5:25
05/01/2016 5:30,75,1,100,1,36,5:30
05/01/2016 5:35,73,1,100,1,45,5:35
05/01/2016 5:40,106,1,100,0,1717,5:40
05/01/2016 5:45,101,1,100,0,345,5:45
05/01/2016 5:50,94,1,100,1,56,5:50
05/01/2016 5:55,90,1,100,1,32,5:55
05/01/2016 6:00,108,1,100,0,591,6:00
05/01/2016 6:05,106,1,100,0,349,6:05
05/01/2016 6:10,120,1,100,0,1091,6:10
05/01/2016 6:15,126,1,100,0,1639,6:15
05/01/2016 6:20,127,1,100,0,1630,6:20
05/01/2016 6:25,163,1,100,0,1016,6:25
05/01/2016 6:30,128,1,100,0,849,6:30
05/01/2016 6:35,154,1,100,0,1011,6:35
05/01/2016 6:40,157,1,100,0,1792,6:40
05/01/2016 6:45,171,1,100,0,1683,6:45
05/01/2016 6:50,152,1,100,0,748,6:50
05/01/2016 6:55,150,1,100,0,1170,6:55
05/01/2016 7:00,148,1,100,0,1455,7:00
05/01/2016 7:05,147,1,100,0,1021,7:05
05/01/2016 7:10,148,1,100,0,630,7:10
05/01/2016 7:15,136,1,100,0,392,7:15
05/01/2016 7:20,136,1,100,0,1763,7:20
05/01/2016 7:25,96,1,100,1,38,7:25
05/01/2016 7:30,114,1,100,0,874,7:30
05/01/2016 7:35,103,1,100,0,224,7:35
05/01/2016 7:40,77,1,100,1,41,7:40
05/01/2016 7:45,82,1,100,1,15,7:45
05/01/2016 7:50,63,1,100,1,37,7:50
05/01/2016 7:55,74,1,100,1,40,7:55
05/01/2016 8:00,85,1,100,1,47,8:00
05/01/2016 8:05,91,1,100,1,15,8:05
05/01/2016 8:10,73,1,100,1,0,8:10
05/01/2016 8:15,80,1,100,1,27,8:15
05/01/2016 8:20,70,1,100,1,22,8:20
05/01/2016 8:25,69,1,100,1,28,8:25
05/01/2016 8:30,69,1,100,1,32,8:30
05/01/2016 8:35,63,1,100,1,22,8:35
05/01/2016 8:40,77,1,100,1,29,8:40
05/01/2016 8:45,59,1,100,1,1,8:45
05/01/2016 8:50,65,1,100,1,30,8:50
05/01/2016 8:55,63,1,100,1,10,8:55
05/01/2016 9:00,56,1,100,1,21,9:00
05/01/2016 9:05,57,1,100,1,0,9:05
05/01/2016 9:10,66,1,100,1,13,9:10
05/01/2016 9:15,73,1,100,1,42,9:15
05/01/2016 9:20,63,1,100,1,35,9:20
05/01/2016 9:25,70,1,100,1,15,9:25
05/01/2016 9:30,80,1,100,1,55,9:30
05/01/2016 9:35,79,1,100,1,3,9:35
05/01/2016 9:40,90,1,100,1,13,9:40
05/01/2016 9:45,87,1,100,1,23,9:45
05/01/2016 9:50,83,1,100,1,14,9:50
05/01/2016 9:55,59,1,100,1,19,9:55
05/01/2016 10:00,78,1,100,1,7,10:00
05/01/2016 10:05,63,1,100,1,19,10:05
05/01/2016 10:10,71,1,100,1,29,10:10
05/01/2016 10:15,73,1,100,1,25,10:15
05/01/2016 10:20,76,1,100,1,48,10:20
05/01/2016 10:25,90,1,100,1,36,10:25
05/01/2016 10:30,70,1,100,1,49,10:30
05/01/2016 10:35,83,1,100,1,37,10:35
05/01/2016 10:40,74,1,100,1,37,10:40
05/01/2016 10:45,87,1,100,1,31,10:45
05/01/2016 10:50,75,1,100,1,29,10:50
05/01/2016 10:55,85,1,100,1,56,10:55
05/01/2016 11:00,80,1,100,1,20,11:00
05/01/2016 11:05,69,1,100,1,9,11:05
05/01/2016 11:10,72,1,100,1,38,11:10
05/01/2016 11:15,75,1,100,1,4,11:15
05/01/2016 11:20,77,1,100,1,58,11:20
05/01/2016 11:25,72,1,100,1,25,11:25
05/01/2016 11:30,64,1,100,1,20,11:30
05/01/2016 11:35,90,1,100,1,45,11:35
05/01/2016 11:40,89,1,100,1,11,11:40
05/01/2016 11:45,53,1,100,1,51,11:45
05/01/2016 11:50,46,1,100,1,46,11:50
05/01/2016 11:55,47,1,100,1,47,11:55
05/01/2016 12:00,41,1,100,1,45,12:00
05/01/2016 12:05,83,1,100,1,15,12:05
05/01/2016 12:10,63,1,100,1,53,12:10
05/01/2016 12:15,76,1,100,1,49,12:15
05/01/2016 12:20,71,1,100,1,16,12:20
05/01/2016 12:25,47,1,100,1,39,12:25
05/01/2016 12:30,72,1,100,1,45,12:30
05/01/2016 12:35,71,1,100,1,55,12:35
05/01/2016 12:40,37,1,100,1,10,12:40
05/01/2016 12:45,17,1,100,1,20,12:45
05/01/2016 12:50,74,1,100,1,22,12:50
05/01/2016 12:55,72,1,100,1,8,12:55
05/01/2016 13:00,80,1,100,1,19,13:00
05/01/2016 13:05,69,1,100,1,30,13:05
05/01/2016 13:10,62,1,100,1,8,13:10
05/01/2016 13:15,57,1,100,1,52,13:15
05/01/2016 13:20,65,1,100,1,0,13:20
05/01/2016 13:25,51,1,100,1,6,13:25
05/01/2016 13:30,61,1,100,1,35,13:30
05/01/2016 13:35,69,1,100,1,32,13:35
05/01/2016 13:40,77,1,100,1,59,13:40
05/01/2016 13:45,31,1,100,1,48,13:45
05/01/2016 13:50,95,1,100,1,59,13:50
05/01/2016 13:55,77,1,100,1,19,13:55
05/01/2016 14:00,64,1,100,1,28,14:00
05/01/2016 14:05,69,1,100,1,41,14:05
05/01/2016 14:10,57,1,100,1,48,14:10
05/01/2016 14:15,74,1,100,1,11,14:15
05/01/2016 14:20,73,1,100,1,57,14:20
05/01/2016 14:25,70,1,100,1,42,14:25
05/01/2016 14:30,74,1,100,1,23,14:30
05/01/2016 14:35,65,1,100,1,6,14:35
05/01/2016 14:40,73,1,100,1,47,14:40
05/01/2016 14:45,87,1,100,1,29,14:45
05/01/2016 14:50,56,1,100,1,5,14:50
05/01/2016 14:55,71,1,100,1,34,14:55
05/01/2016 15:00,51,1,100,1,44,15:00
05/01/2016 15:05,67,1,100,1,35,15:05
05/01/2016 15:10,65,1,100,1,37,15:10
05/01/2016 15:15,79,1,100,1,50,15:15
05/01/2016 15:20,95,1,100,1,13,15:20
05/01/2016 15:25,81,1,100,1,16,15:25
05/01/2016 15:30,79,1,100,1,12,15:30
05/01/2016 15:35,92,1,100,1,17,15:35
05/01/2016 15:40,103,1,100,0,190,15:40
05/01/2016 15:45,83,1,100,1,18,15:45
05/01/2016 15:50,89,1,100,1,21,15:50
05/01/2016 15:55,71,1,100,1,17,15:55
05/01/2016 16:00,72,1,100,1,55,16:00
05/01/2016 16:05,74,1,100,1,36,16:05
05/01/2016 16:10,81,1,100,1,8,16:10
05/01/2016 16:15,77,1,100,1,1,16:15
05/01/2016 16:20,80,1,100,1,2,16:20
05/01/2016 16:25,86,1,100,1,55,16:25
05/01/2016 16:30,78,1,100,1,28,16:30
05/01/2016 16:35,73,1,100,1,44,16:35
05/01/2016 16:40,82,1,100,1,41,16:40
05/01/2016 16:45,70,1,100,1,21,16:45
05/01/2016 16:50,83,1,100,1,36,16:50
05/01/2016 16:55,81,1,100,1,40,16:55
05/01/2016 17:00,75,1,100,1,37,17:00
05/01/2016 17:05,80,1,100,1,17,17:05
05/01/2016 17:10,81,1,100,1,44,17:10
05/01/2016 17:15,95,1,100,1,23,17:15
05/01/2016 17:20,95,1,100,1,52,17:20
05/01/2016 17:25,77,1,100,1,39,17:25
05/01/2016 17:30,81,1,100,1,21,17:30
05/01/2016 17:35,68,1,100,1,59,17:35
05/01/2016 17:40,66,1,100,1,11,17:40
05/01/2016 17:45,80,1,100,1,57,17:45
05/01/2016 17:50,75,1,100,1,34,17:50
05/01/2016 17:55,62,1,100,1,57,17:55
05/01/2016 18:00,74,1,100,1,14,18:00
05/01/2016 18:05,81,1,100,1,44,18:05
05/01/2016 18:10,71,1,100,1,40,18:10
05/01/2016 18:15,75,1,100,1,16,18:15
05/01/2016 18:20,80,1,100,1,2,18:20
05/01/2016 18:25,66,1,100,1,24,18:25
05/01/2016 18:30,72,1,100,1,57,18:30
05/01/2016 18:35,61,1,100,1,47,18:35
05/01/2016 18:40,62,1,100,1,8,18:40
05/01/2016 18:45,60,1,100,1,57,18:45
05/01/2016 18:50,64,1,100,1,47,18:50
05/01/2016 18:55,55,1,100,1,42,18:55
05/01/2016 19:00,70,1,100,1,2,19:00
05/01/2016 19:05,51,1,100,1,26,19:05
05/01/2016 19:10,60,1,100,1,52,19:10
05/01/2016 19:15,51,1,100,1,57,19:15
05/01/2016 19:20,60,1,100,1,57,19:20
05/01/2016 19:25,58,1,100,1,1,19:25
05/01/2016 19:30,49,1,100,1,57,19:30
05/01/2016 19:35,51,1,100,1,34,19:35
05/01/2016 19:40,58,1,100,1,11,19:40
05/01/2016 19:45,37,1,100,1,53,19:45
05/01/2016 19:50,40,1,100,1,57,19:50
05/01/2016 19:55,45,1,100,1,26,19:55
05/01/2016 20:00,48,1,100,1,8,20:00
05/01/2016 20:05,39,1,100,1,8,20:05
05/01/2016 20:10,45,1,100,1,23,20:10
05/01/2016 20:15,56,1,100,1,33,20:15
05/01/2016 20:20,44,1,100,1,2,20:20
05/01/2016 20:25,47,1,100,1,19,20:25
05/01/2016 20:30,37,1,100,1,14,20:30
05/01/2016 20:35,37,1,100,1,12,20:35
05/01/2016 20:40,43,1,100,1,29,20:40
05/01/2016 20:45,37,1,100,1,53,20:45
05/01/2016 20:50,48,1,100,1,6,20:50
05/01/2016 20:55,43,1,100,1,59,20:55
05/01/2016 21:00,28,1,100,1,50,21:00
05/01/2016 21:05,40,1,100,1,55,21:05
05/01/2016 21:10,41,1,100,1,38,21:10
05/01/2016 21:15,36,1,100,1,26,21:15
05/01/2016 21:20,47,1,100,1,9,21:20
05/01/2016 21:25,33,1,100,1,20,21:25
05/01/2016 21:30,30,1,100,1,56,21:30
05/01/2016 21:35,30,1,100,1,59,21:35
05/01/2016 21:40,31,1,100,1,33,21:40
05/01/2016 21:45,27,1,100,1,57,21:45
05/01/2016 21:50,35,1,100,1,6,21:50
05/01/2016 21:55,24,1,100,1,12,21:55
05/01/2016 22:00,21,1,100,1,57,22:00
